Id,CompanyName,Email,Address,Phone,BusReg,BusTin,DocumentNo,BankName,AccountHolder,AccountNumber,Network,MobileNumber,LoanAmount,LoanStatus,LoanTerm,LoanPurpose,NumberofPreviousLoans,NumberOfRepaidLoans,NumberOfDefaultedLoans,NumberOfLatePayments,AverageLoanAmount,TotalAmountOwed,AverageInterestRateOfPreviousLoans,TimeSinceLastLoan
19,Company9,Company9@test.com,East Legon,5234119514,GHA9340296159,4652882,8589485631,Standard Chartered,Company9,110041107912430610,Mtn,7187307602,2000,false,77,PbDWnDxPeMcdsbaINsHFaZKks,59,30,6,19,6500,8500,96.658653,76
86,Company8,Company8@test.com,Legon,4444347305,GHA3449282423,9617145,0741937180,Fidelity Bank,Company8,211841012051137961,Vodafone,7315570461,7000,false,54,qhVEIIsSianTSYetNQdfZQlWy,78,39,85,96,9000,9000,89.820160,15
65,Company14,Company14@test.com,East Legon,9056063934,GHA3151502009,7595290,6222898996,EcoBank,Company14,93831111113073942,Mtn,7272155087,10000,false,47,pGycCoTdkbOSOAkScQLtCMUHw,73,10,95,90,8000,8000,35.805275,17
80,Company20,Company20@test.com,East Legon,6676766977,GHA7228155842,3359138,9836142303,Fidelity Bank,Company20,1168404769001110,Vodafone,8642062765,4000,false,18,DPiXxWCMepcecsthtGMqujsJa,74,50,65,3,2500,3500,82.679817,50
8,Company11,Company11@test.com,Tema,5336967805,GHA0490339916,0563518,8035001109,Fidelity Bank,Company11,7685402131109111111,Mtn,8297675657,6500,false,31,ueFsgRDSlpqyrifnIbAMcoZgs,4,66,5,41,5000,6000,1.670231,61
40,Company25,Company25@test.com,East Legon,5668172117,GHA3595610440,2760021,4417339474,EcoBank,Company25,121313861367133145,AT,2099285610,900,true,86,WGFIAfwCksfqcpErXqoOMsfjH,91,49,75,12,2000,1500,82.312187,96
71,Company22,Company22@test.com,Legon,5585705967,GHA3635501117,7550978,0522553742,Stanbic Bank,Company22,129231283152213127,Mtn,4881956916,6500,false,46,rWgDNcZlGrFyKHvFnPBtjbybM,56,1,31,63,9000,4500,92.921883,96
26,Company16,Company16@test.com,Legon,3642349178,GHA6352419046,4962838,9322640502,Stanbic Bank,Company16,022121241080513707,Mtn,8931497952,7000,true,2,DTdZRvsTXNVxcKFuMoTEukHsq,82,87,70,52,3000,10000,12.771449,29
72,Company9,Company9@test.com,Kasoa,7472117612,GHA8363849531,3156894,5840556464,Stanbic Bank,Company9,1054541121018107910,AT,3295702393,750,false,34,XoloZLiBfMXyYHUXiSvJBGaSr,35,90,10,47,2500,2500,77.470879,25
80,Company2,Company2@test.com,Tema,6448570181,GHA9758822529,7834690,5412373961,EcoBank,Company2,946219123118732,AT,0088593394,1500,true,80,JbYImjAhwgyGVTyZwqeruuZgg,61,84,60,59,9000,1000,39.321316,24
28,Company7,Company7@test.com,Kasoa,6418649394,GHA0060669069,3379751,8586625419,Fidelity Bank,Company7,52101332991211124122,Vodafone,3503881650,5500,false,7,FCmryPthMVOIeTYfEVICsIWrx,32,0,54,7,6000,5000,25.947386,13
69,Company25,Company25@test.com,East Legon,1563392303,GHA8774719438,4017122,3524702438,Fidelity Bank,Company25,126111069802131111313,Vodafone,9881250955,7500,true,73,jjgsEBlEPKiIwAxTvgRpGrqXm,54,60,89,58,2500,2000,58.002335,45
51,Company27,Company27@test.com,East Legon,0761411681,GHA8631768070,3324419,2397983796,Standard Chartered,Company27,0612102912106975513,Mtn,1929969808,3000,false,1,ECcMmRXYnPJbuKkWYkhRNFdmm,23,85,12,68,6000,3000,25.082632,4
25,Company2,Company2@test.com,Kasoa,2272125397,GHA0699201256,4126032,1624518608,ABSA,Company2,810213807321112071,AT,2574016755,2000,true,53,yRJoNBpAxKHTubtEYbmKpgdjD,85,94,67,56,8000,4500,4.384756,45
48,Company3,Company3@test.com,Weija,0004167941,GHA9222503625,9376743,5572699660,Fidelity Bank,Company3,0079210236688711,AT,0640371779,6500,true,46,ALSINrbkfaOSxjICRVcLmLEan,25,90,90,19,4500,5000,3.316526,87
