Id,Name,Email,Age,Address,Phone,MonthlyIncome,EmploymentStatus,EmploymentDuration,NumberOfDependents,MaritalStatus,EducationalBackground,HomeOwnershipStatus,Nationality,Dob,Sex,IdNumber,DocumentNo,Height,PlaceOfIssurance,Tin,BankName,AccountHolder,AccountNumber,Network,MobileNumber,LoanAmount,LoanStatus,LoanTerm,LoanPurpose,NumberofPreviousLoans,NumberOfRepaidLoans,NumberOfDefaultedLoans,NumberOfLatePayments,AverageLoanAmount,TotalAmountOwed,AverageInterestRateOfPreviousLoans,TimeSinceLastLoan
37,Matthew James,Matthew James@test.com,1,East Legon,9098848520,750,true,1,24,false,vavDVlqgCAfCkShMASZDIdKBk,false,Ghanaian,WxweNTfHGmXSlkJcLlfTrOIVZ,Female,GHA4500378911,6625003,97,Kasoa,5242523813,Standard Chartered,Matthew James,612926525812698,AT,1579409843,5000,false,2,rftOOULohRVZuAGiesQsxCrhS,3,47,10,21,4000,8000,44.740582,5
46,Donald Barbara,Donald Barbara@test.com,41,Tema,3291128101,5500,false,93,56,false,TcAVDMfufWWUnHMEQeYcpByVu,true,Nigerian,AABoKdswlllcThaLADlQgiPVK,Male,GHA8884114212,2342054,29,East Legon,3394445811,ABSA,Donald Barbara,858116044127611910,Mtn,7480621557,4000,false,35,KwHhOTkVDbVOQUAWOyiXQIIMa,19,32,0,22,2000,1000,77.351051,47
14,Steven Michael,Steven Michael@test.com,58,Kasoa,5690977897,1500,true,61,61,false,qAjRQVGaTJlmrTYYZXaaDCaKU,true,Ghanaian,ZDgvHRGBXnqglWCWuuXKPDtOB,Female,GHA4314921377,4742012,45,East Legon,6180957504,ABSA,Steven Michael,99414126521204113,Mtn,6908791331,10000,false,70,HZnsOOTIVfkVgNNhoIlSeppjc,71,62,3,26,7500,5500,50.082645,54
88,Richard Patricia,Richard Patricia@test.com,44,Tema,4888308914,7000,true,90,15,true,eyeeyQClSaRtaflAsEWJZHKxh,true,Nigerian,tPBrKUchNXFQSViWQwcESTaDB,Female,GHA0698825235,4772454,21,Weija,5812769827,Standard Chartered,Richard Patricia,51314631276291112,Mtn,8736595701,900,false,17,VsbYmYMbXNUkNIZLQLQMXUsFi,65,17,7,55,4000,5500,5.734908,30
97,Mark Charles,Mark Charles@test.com,74,Tema,3964303782,3500,true,37,2,true,nSYDvURHKjUZOmHfYtWFphyeL,false,Ghanaian,wmZmwqjNauKoAFoqpQKIYePIQ,Female,GHA8563469074,2478036,88,Weija,2801583737,ABSA,Mark Charles,973486103171424,Mtn,3763538259,7500,true,66,MlXrUxiVjVAYWfjMiknGPWAbF,9,27,93,25,7000,1500,61.366470,5
8,Linda Robert,Linda Robert@test.com,78,Tema,6802859868,2000,true,45,45,true,eUwbEDFrGDdXhamsrhrqXGcGF,true,Ghanaian,lNCRiPoQFTtASEqoqCZILSeXw,Male,GHA7106011306,6787060,57,Legon,3308702679,Standard Chartered,Linda Robert,7112874217279413,Vodafone,6004367154,750,false,15,ylhPSEWHdklTfFGxCRtUjsDDT,76,45,33,89,8500,8000,27.860264,56
74,Paul Daniel,Paul Daniel@test.com,78,Tema,3368305819,7000,false,17,83,false,pBMWWcFrNtopymnPJGmgvPLxM,false,Ghanaian,FpRFPewwpquVihItaBHNFhfRZ,Male,GHA7493899245,3894014,16,Legon,7583475763,Fidelity Bank,Paul Daniel,106111111071122601,Vodafone,5157698057,9000,false,53,YDSxoKfGaCZigVPtJadmbhJTB,57,97,30,40,7000,2000,40.272236,77
85,Anthony Jennifer,Anthony Jennifer@test.com,51,Kasoa,1628670611,5500,false,86,99,false,hGIpujZgxSuEeDLCWxrBjLlBK,true,Nigerian,SwSEucvjUdFrhRGxBcsfMxqCw,Male,GHA1278978060,1324956,6,Tema,1618212794,Stanbic Bank,Anthony Jennifer,12039750135271209,Vodafone,6785030971,1500,true,67,ZGTudTbPgSxTwgJXJbXbVTeKM,25,29,32,76,4500,8000,60.825691,17
79,John Kenneth,John Kenneth@test.com,74,East Legon,0625005365,9500,true,16,85,true,jypaoSXYIvRGhSHXXixKmVaPw,true,Nigerian,HfeIUYeDVsKsEbelrPVpKRZDX,Male,GHA8491217516,7726597,69,Weija,3214491310,Standard Chartered,John Kenneth,531111305370101312,AT,2388186618,900,true,86,yEDoqnNapEZKyyDrGYZxgSfjB,22,39,62,59,3500,900,0.442046,39
11,Anthony Andrew,Anthony Andrew@test.com,82,East Legon,4255828079,6500,false,98,33,true,qJlXGhETpVLfEcsLsTcVGetHd,false,Ghanaian,GwYmgWZxbyApVNfIODnAPqoOk,Male,GHA6849489060,8969401,13,Kasoa,6842846361,Fidelity Bank,Anthony Andrew,113271212084101381213,Mtn,0403903217,1500,true,56,rfMrUkBJOIjkQKGSlNmmFXcZv,53,35,14,91,5000,4500,96.302933,86
88,Daniel Matthew,Daniel Matthew@test.com,59,Legon,0848907563,750,true,10,41,false,AZtwSwFhqUpTxhRHiGqReuXRH,false,Ghanaian,inYVeWWmQDAbMbQngtAqXpIkg,Male,GHA0109728502,3683138,52,Legon,6630381756,Stanbic Bank,Daniel Matthew,510361200375571211,AT,5750089431,2000,false,79,HlXMBFnhcvSXrfeCGbCZGiiqi,5,29,49,49,1500,8000,62.831745,14
14,Kenneth Paul,Kenneth Paul@test.com,74,East Legon,5073830492,9000,false,8,25,true,emUdymetIogsXkhjDdEbvOFsp,true,Ghanaian,OLTtrZXRqaZaKMIwYxSbbbFMD,Female,GHA3572844855,0805050,32,Legon,5317089834,Fidelity Bank,Kenneth Paul,118106131025711871010,Vodafone,8147143042,7500,false,32,dQHlqZbmpAYCfZEyZQXbtUrCo,27,83,96,4,4500,900,58.879616,19
23,Joseph Kenneth,Joseph Kenneth@test.com,92,Tema,0633049538,9000,false,28,71,false,bvWxExhIkEkcDVPfVQcqorpXD,true,Nigerian,HlywuSnaHnnYkhZiTTrGFGaaP,Male,GHA3470727048,8121110,71,East Legon,3505027786,Standard Chartered,Joseph Kenneth,1055511127121137468,AT,5255226129,3000,true,18,XLqOjjTfYSZRefgERgMcOWocV,18,11,6,36,7000,9000,52.091324,85
36,Thomas Daniel,Thomas Daniel@test.com,46,Weija,6332785602,1000,true,84,70,false,svdyWHkWOSFidxbOgaCIZANKH,true,Nigerian,CLocbiaxkReLJwiHSrpZBwSLi,Male,GHA1087146210,3103801,28,East Legon,1368590004,EcoBank,Thomas Daniel,1211121312126439113,Vodafone,3029896146,8000,true,25,MjhIvKjyAcxyZjdAZeYCaaNGG,45,31,42,2,3500,8000,63.537121,82
86,Barbara James,Barbara James@test.com,55,Legon,7479085472,900,true,31,88,true,aQpQJDDbANJegtBolTaAsRUDi,true,Ghanaian,yQhFoBFDydmEXGJeNMPhxwZcK,Female,GHA8588217892,7341194,58,Kasoa,6214552613,Fidelity Bank,Barbara James,12111150212711132902,Vodafone,1070681803,9000,true,40,ItjLqQyMOyRafGkoyDsZliUxw,10,50,68,88,8500,5500,77.620110,95
34,Donald Jennifer,Donald Jennifer@test.com,34,Legon,8630092785,6000,false,50,18,true,kjfirRRZFjsufiOWUlfExXare,false,Ghanaian,CROunqxnHJmMrTbKsVJjixJdp,Male,GHA6655347813,1441604,24,Legon,3393029249,Stanbic Bank,Donald Jennifer,137541396111394105,Mtn,7507013271,2500,true,44,RRSCSmrUMuMZNsCtoaVfqJNYB,93,66,10,76,2000,4500,8.729096,42
28,Linda Elizabeth,Linda Elizabeth@test.com,73,Tema,4030197162,1000,false,84,99,true,ZLfpjwZuyvtodgQOTCxmKTkQh,false,Ghanaian,XjisYJWWMhJFDEJxqjanevFMX,Male,GHA8445382713,1539247,47,East Legon,2159059305,Fidelity Bank,Linda Elizabeth,11210812310191331413,Vodafone,3606483069,2000,true,16,escntCusbKoipHYKIxEHLhPsh,82,62,77,20,6500,4500,87.773460,18
33,Mark John,Mark John@test.com,37,Kasoa,7671849848,10000,false,54,71,false,AGfacrQZaUWuuFgYSKDydECpP,false,Nigerian,WMffQbedMRmxIMpRoHMBxYXPX,Female,GHA7270976475,4638646,91,Kasoa,1583372553,Stanbic Bank,Mark John,1171195389700796,Vodafone,6894284390,3000,true,97,DKLYtOmWJCtebMDYYRlbiBHYA,51,16,63,45,900,6500,12.393870,20
77,Donald John,Donald John@test.com,66,Weija,6570988400,5500,false,63,3,false,qbOInSyyflVfxZwiaKxdGnlSB,false,Nigerian,raMCalkIwoFjwmUAIyBHYNmLa,Female,GHA8057846475,6030653,14,Tema,1055737710,Stanbic Bank,Donald John,9569693045136612,Vodafone,1009848448,5500,true,90,RHQIsCgEjQVbtXEwtUYjGbJAG,48,42,19,76,6500,4000,27.936274,67
34,Charles John,Charles John@test.com,88,Tema,8156506848,8000,false,42,4,true,uJmFSCvBCKfMIHVEuPqXxaSXc,false,Nigerian,cuPCPrKbmCUsABwdDsqjNRecR,Male,GHA5731309216,9261620,65,Weija,9788425938,Stanbic Bank,Charles John,41311611110810112910,Vodafone,8471177437,7500,true,43,AhgHDOlFfkPpQVMSAFfKJdMMA,46,28,41,6,8000,750,15.401344,18
30,Daniel Matthew,Daniel Matthew@test.com,91,Tema,5572808889,8000,false,36,19,false,EmWaUqorlDgtYVsdDRTPbpFol,false,Ghanaian,wsXhGmOoKDrfeuCrUouscrDsn,Male,GHA7654753798,3546269,41,Legon,2158403070,ABSA,Daniel Matthew,211295112104137500,AT,1216315998,6500,false,34,PhdxxYgeOBauKdehDQcitrbbX,32,70,72,76,3000,3000,6.815468,46
65,Patricia Donald,Patricia Donald@test.com,7,Legon,1948483014,6500,false,0,5,false,jBjCGnePRyAMfcPfudnhPIkFa,true,Ghanaian,UtjcLCnBcLnahHimFdUXtQfel,Female,GHA5771370649,5318971,1,Legon,4086727892,Standard Chartered,Patricia Donald,131110152089211357,Mtn,6566323281,10000,true,4,kuRSjFlaCECtGuKlIllZcqxUQ,6,35,98,16,2500,6000,54.554764,19
